Tag	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
TCGA-CD-5798-01	0.00213422790995679	0	0.00361902342050766	0.110451550665504	0	0.234444580836785	0	0	0.0601159600311737	0	0	0.0502992006394838	0.0525996116083602	0.0527424036847581	0.0391142210502243	0.259921960180506	0.0493823400621205	0.0223127842306282	0.0222390641838306	0.038073231257871	0	0.00254984023828987	0.01	0.311222081087679	0.95848583120142
TCGA-CD-5799-01	0.0303794746830751	0	0.0476058271791752	0.0584219534849234	0	0.128354064575593	0	0	0.0370405321556038	0	0	0.07164015965651	0	0.247151019849793	0.0590355968114491	0.211045508333835	0.000869799534337808	0.0167614701281477	0	0.0667409670057541	0	0.0249536266018034	0.06	0.125034692349576	1.05512584709558
TCGA-CD-5800-01	0.131972871629546	0	0.046699580463081	0.0978744369839806	0	0.182037383638895	0.0278544343915571	0.0223782272317059	0.0414306475346643	0	0.016289444631023	0	0	0.309561060905735	0.0353906802063549	0.0624168461310042	0	0.0260943862524533	0	0	0	0	0.02	0.197605845252732	1.01553167846223
TCGA-CD-5801-01	0.0727739314131238	0	0.0563293010488876	0.395845918162463	0	0.00258370524393838	0.178939333519933	0.0228794791791025	0.0304094134122336	0	0	0.0161375578867123	0.00964631836234688	0	0.0775079426260374	0.0781695885807171	0.0312876771616169	0	0.0217966885109453	0	0	0.00569314489194212	0	0.481211928798599	0.875780945381447
TCGA-CD-5803-01	0.0187532207888255	0.00224852903129728	0	0.273462566610245	0	0.1896894568234	0.0145752797049962	0.0279117876201578	0.134004277045369	0	0	0.0449909278119724	0.00225935008452367	0.0265465191629992	0.0920903920388039	0.138048076179647	0.0085308435791355	0	0.026888773518628	0	0	0	0	0.513013610612101	0.857573574463561
TCGA-CD-5813-01	0.0876127992501313	0	0.0737376296350444	0.20209599671255	0	0.0831570997547269	0.00947548894134044	0.0234410422607247	0.0820636862477234	0.0101770684361877	0	0.0533702572685445	0.0305632852997181	0.035435189581292	0.0857415023230947	0.134644537353519	0.0623701267656396	0	0.0261142901697629	0	0	0	0	0.422877071433372	0.905287007153174
TCGA-CD-8524-01	0.0633183356386637	0	0.135164177424302	0.23177252586743	0	0.0547698182148258	0.0153991157165547	0.0170973391296415	0.088592187531853	0.00438846353071971	0	0.013799653776259	0	0.035025478251646	0.157876404812394	0.0201597811039578	0.127532709064157	0	0.0351040099375961	0	0	0	0.02	0.287204747758945	0.96989050227131
TCGA-CD-8525-01	0.0727538441258218	0	0.121846106870609	0.158930104575914	0	0.0175400973650512	0.0603074109281277	0.024928692828011	0.0547208888274978	0	0.00892697551021359	0.0239181073040403	0	0.21682298426799	0.128322016904211	0.0779092501223044	0	0	0.021295841952422	0	0	0.0117776784177853	0	0.41390218586512	0.909786240131028
TCGA-CD-8526-01	0.140606393283917	0	0.0926933252193306	0.0892276573460059	0	0.139648874333545	0.0302029929501348	0.07265161731678	0.0945246374411193	0	0.00281348854641013	0.00413684081364224	0	0.167559244854312	0.0490943458804838	0.0852711079698984	0.00346957365101179	0.0241987858011369	0.00390111459227224	0	0	0	0.05	0.159705026286214	1.01831480136744
TCGA-CD-8527-01	0.0586404307210013	0	0.0528798190440498	0.226972618313019	0	0.057524616817937	0.0609281484920946	0.0530388139638206	0.0778088090463735	0	0	0.0807476897351323	0.00457877013436827	0.0651633082740761	0.0495106437758611	0.107164749578913	0	0.0602405336330404	0.0383101927471103	0	0	0.00649085572320314	0.06	0.124301382434169	1.04290534258908
