Tag	StromalScore	ImmuneScore	ESTIMATEScore
TCGA-CG-4306-01	2578.794	4224.929	6803.723
TCGA-CG-4436-01	524.537	3611.197	4135.734
TCGA-CG-4437-01	2642.637	4780.849	7423.486
TCGA-CG-4438-01	1837.101	4528.031	6365.132
TCGA-CG-4440-01	593.9231	2822.1481	3416.0712
TCGA-CG-4441-01	2560.141	3522.858	6083
TCGA-CG-4443-01	1020.159	1093.146	2113.305
TCGA-CG-4444-01	2630.413	4058.723	6689.136
TCGA-CG-4460-01	1001.581	2594.146	3595.727
TCGA-CG-4465-01	2851.339	4176.174	7027.513
TCGA-CG-4466-01	-213.9052	1704.7932	1490.888
TCGA-CG-4469-01	1209.119	3600.416	4809.535
TCGA-CG-4475-01	3221.243	2919.932	6141.175
TCGA-CG-4477-01	2631.472	5163.25	7794.722
TCGA-CG-5717-01	1539.581	4207.516	5747.097
TCGA-CG-5718-01	1564.121	4103.408	5667.529
TCGA-CG-5719-01	3656.853	4079.876	7736.729
TCGA-CG-5720-01	2477.91	4507.627	6985.538
TCGA-CG-5721-01	2511.028	6004.651	8515.68
TCGA-CG-5722-01	2415.282	5883.872	8299.154
TCGA-CG-5723-01	2041.999	4883.334	6925.333
TCGA-CG-5724-01	1722.872	3423.024	5145.896
TCGA-CG-5725-01	-114.8389	808.9075	694.0686
TCGA-CG-5726-01	-490.2797	1728.9061	1238.6264
TCGA-CG-5732-01	515.3403	4513.8839	5029.2242
TCGA-CG-5734-01	2197.661	5676.079	7873.74
TCGA-D7-5577-01	1867.005	5153.091	7020.096
TCGA-D7-5578-01	2455.222	4155.377	6610.599
TCGA-D7-6519-01	834.2587	2324.9261	3159.1848
TCGA-D7-6520-01	2284.257	2639.117	4923.375
TCGA-D7-6521-01	3644.858	4835.67	8480.529
TCGA-D7-6522-01	4862.575	6598.056	11460.632
TCGA-D7-6524-01	3782.645	4404.756	8187.401
TCGA-D7-6525-01	2031.854	2869.411	4901.265
TCGA-D7-6526-01	498.4696	1833.9157	2332.3853
TCGA-D7-6527-01	1475.991	2909.348	4385.34
TCGA-D7-6528-01	-122.6829	1564.691	1442.008
TCGA-D7-6815-01	1681.397	2425.612	4107.009
TCGA-D7-6818-01	3602.361	4225.392	7827.754
TCGA-D7-6822-01	758.5963	2358.0172	3116.6136
TCGA-D7-8570-01	3074.89	6078.267	9153.157
TCGA-D7-8572-01	3184.92	3808.675	6993.595
TCGA-D7-8573-01	17.69183	2234.18683	2251.87866
TCGA-D7-8574-01	4238.67	6128.669	10367.339
TCGA-D7-8575-01	1266.985	4052.181	5319.166
TCGA-D7-8576-01	1631.078	2691.519	4322.597
TCGA-D7-8578-01	3115.709	3147.218	6262.927
TCGA-D7-8579-01	3378.2	4096.562	7474.761
TCGA-D7-A4YU-01	2542.791	5280.137	7822.928
TCGA-D7-A4YX-01	1000.388	4036.18	5036.568
TCGA-D7-A4Z0-01	2659.639	4571.31	7230.949
TCGA-D7-A6EV-01	-163.6318	1602.0206	1438.3888
TCGA-D7-A6EX-01	512.4412	1137.0291	1649.4703
TCGA-D7-A6EY-01	2257.947	5174.093	7432.04
TCGA-D7-A6EZ-01	2120.531	4668.713	6789.244
TCGA-D7-A6F0-01	606.0097	3089.0398	3695.0495
TCGA-D7-A6F2-01	1631.988	3869.756	5501.744
TCGA-D7-A747-01	3081.633	4464.125	7545.757
TCGA-D7-A748-01	4621.792	5389.945	10011.738
TCGA-D7-A74A-01	-509.7345	2595.7952	2086.0607
TCGA-EQ-8122-01	1883.924	2067.741	3951.665
