Tag	Activated B cell	Activated CD4 T cell	Activated CD8 T cell	Central memory CD4 T cell	Central memory CD8 T cell	Effector memeory CD4 T cell	Effector memeory CD8 T cell	Gamma delta T cell	Immature  B cell	Memory B cell	Regulatory T cell	T follicular helper cell	Type 1 T helper cell	Type 17 T helper cell	Type 2 T helper cell	Activated dendritic cell	CD56bright natural killer cell	CD56dim natural killer cell	Eosinophil	Immature dendritic cell	Macrophage	Mast cell	MDSC	Monocyte	Natural killer cell	Natural killer T cell	Neutrophil	Plasmacytoid dendritic cell
TCGA-RD-A8MV-01	0.116432071373703	0.342976450079711	0.404010013792579	0.564706971316008	0.392251106159247	0.144432310286773	0.25126547414661	0.323962984196383	0.20684971815183	0.115585809283609	0.213494821644538	0.150842666601192	0.174466480347753	0.0289219809467212	0.0697449149373571	0.298655468733054	0.21392756324667	0.34451281233311	-0.0586894519445203	0.321951336615593	0.114934196754253	0.0509058263320216	0.482659595845453	0.362641946880987	0.304257865081509	0.153355024327992	0.0947974503826411	0.357685476400398
TCGA-RD-A8MW-01	-0.0122359489194711	0.28866907964455	0.300657753526106	0.55115753864122	0.399332275398369	0.14402263143232	0.210811602652717	0.305665502669368	0.0986105818554348	0.0385104012095189	0.354576585395731	0.197896694787029	0.180486921727627	0.0207881538501461	0.0525309755417332	0.259826582296865	0.216896469325077	0.418745176502409	-0.0883708895290858	0.318687036370301	0.161911220593489	0.0296045583466033	0.487160119706615	0.388538664587078	0.323653602544899	0.168038988248759	-0.122025938830448	0.387206563466584
TCGA-RD-A8N0-01	0.403826224740928	0.309720619002727	0.468245496258214	0.564890341820417	0.369672647957416	0.19309034630938	0.29361421887725	0.238651672874477	0.444086295455301	0.118009399755875	0.175071840712259	0.164948362478826	0.22427838715135	0.0228174881623153	0.145220685135251	0.2486154394014	0.219183693085356	0.358098112562443	0.0496330881596668	0.309594318390156	0.0388045044134447	0.0537428295624686	0.411463577255667	0.392069302910445	0.319182002255686	0.0928379216539256	-0.283837408348429	0.358762323055222
TCGA-RD-A8N1-01	0.193507025230383	0.355726986848553	0.420415294113875	0.560946264135129	0.330174680794559	0.145183671382579	0.256285880387099	0.246773868776666	0.251100813185777	0.0630816236570154	0.208301043925608	0.188483636985081	0.196286855289067	-0.00550464422151467	0.104841635024194	0.257489060209037	0.203829070804996	0.353814524065468	0.0238394858116568	0.315973576512142	0.0322046880804203	0.0589797486727076	0.471878322411709	0.385940137517895	0.333767443341615	0.130758409179714	-0.259905582795655	0.333069048050083
TCGA-RD-A8N2-01	-0.0741908493153078	0.0310375871901329	0.211132545550423	0.503369546147864	0.316524135071088	0.193078574458965	0.194572045409615	0.174937333170568	0.0164479358229262	0.0729729685347116	0.169298812440133	0.0853571006102195	0.138933608022332	-0.102162356434027	0.145922012717753	0.161984223428423	0.158216260310931	0.229449503125377	-0.112642903451713	0.303289271916912	0.00780485950580289	0.0868385188744594	0.278714118419973	0.317257565513646	0.30647774369462	0.113052099846407	-0.238561446326774	0.352566874441819
TCGA-RD-A8N4-01	-0.0555341087097443	0.0959057594845324	0.252932689899002	0.490143939925464	0.301751325915887	0.193290131628954	0.182600222145446	0.175068797477836	0.0536942033107115	0.0324206733500775	0.132898645811762	0.100428930689808	0.133380279776956	-0.127966944789777	0.194023826220731	0.126788947144884	0.207046773206442	0.230156363578585	0.0066436772180742	0.289755135549424	-0.0075487380701636	0.0557322812891747	0.2712225249151	0.313201313504832	0.308110138767088	0.0876595892438265	-0.220993889101395	0.362525672334603
TCGA-RD-A8N5-01	-0.254349963861882	0.212935311221207	0.152275004709019	0.552621109174868	0.400535044374028	0.151506065040857	0.176469049442698	0.336571535612434	-0.0665778437531846	0.0660370844532396	0.305041262795817	0.149691545799106	0.16458586968497	0.0755447539630349	0.112905821686891	0.286437449445709	0.191668212576265	0.422121684830578	-0.0542640377537288	0.36853980810572	0.168465528272167	0.0929572341446033	0.418314299583793	0.343592628856006	0.330420167427341	0.143743556633342	0.131423501469275	0.434464738649618
TCGA-RD-A8N6-01	-0.315298539015738	0.146095299503401	0.0711848195470853	0.484979653607369	0.295501928087192	0.0863748445339577	0.0875857322852066	0.251084808165821	-0.136065918068977	0.0528911057575562	0.032546794032443	0.092218029088998	0.0452940600480021	-0.0249045312791514	0.0398822474231485	0.176592091212184	0.194008862030854	0.324726248909238	-0.23927739262606	0.283320317006525	0.0274078683492165	-0.139034132714757	0.19287238748681	0.372320427696952	0.275934602862898	0.0609041350290165	-0.163751824025777	0.320582639889713
TCGA-RD-A8N9-01	-0.0455621288797137	0.216298734561907	0.301806538338199	0.535612520938282	0.344261476062252	0.116034596096244	0.190473739156253	0.267454109371107	0.0528007800429691	0.0576487121093782	0.188073883148385	0.144082446470042	0.166945934295085	0.0387541418714566	0.14979053451233	0.229184333909463	0.179908150195641	0.362751955765837	-0.0864187922526046	0.287217854438735	0.0585457380272717	0.0490365162618323	0.358330218460093	0.356815368975702	0.341429678408292	0.170248872989428	-0.248200227280715	0.360607606851294
TCGA-RD-A8NB-01	-0.00889839512354982	0.297810477924612	0.336661394174593	0.503771566296307	0.410877112168288	0.134755123281539	0.269075664502544	0.267932139013426	0.104654398256976	0.0981701161995769	0.165926669641675	0.12996940260131	0.175315409484034	0.075814669524336	0.182690659609163	0.245428173187234	0.201661264415886	0.28390254236007	-0.077878493968205	0.304116852918831	0.0245816675618866	0.0129995359524711	0.417253200131599	0.36086215711891	0.318928272914776	0.118025277113624	-0.159232899943031	0.305754705613814
