Tag	T cells	CD8 T cells	Cytotoxic lymphocytes	B lineage	NK cells	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts
TCGA-BR-7715-01	1.44396670288261	0.853253514513784	0.645522368323256	0.415309084832372	0.152833653508039	2.69487346728	0.911926074221347	1.46013073142022	3.05026988712086	7.64628077516244
TCGA-BR-7716-01	3.35585870374724	5.65447488256379	2.2604018488091	2.55036872866778	0.623341959762878	4.3213695761183	2.09157486447485	1.97177612463114	2.99183156832403	7.16306560524051
TCGA-BR-7717-01	1.06598222256346	2.50970788689967	0.771647089198034	1.97053652981421	0.145204866079064	1.83490193181973	0.829142601670775	1.4972305221162	2.71801529346208	7.05313285987915
TCGA-BR-7722-01	1.740491726014	1.23518640698221	0.836315960779656	1.60883979141043	0.373811102775529	2.74208600694372	1.42749895768468	1.70619112904145	2.73271059165329	6.68186016036528
TCGA-BR-7723-01	2.64617245639736	4.66383894047606	1.74964162850923	2.20265836486545	0.574864168874733	3.73983806518836	1.89964124303726	1.59674832348862	3.07182449023133	6.86961257257564
TCGA-BR-7851-01	2.48150282827557	2.17831462367981	1.75403665336362	2.69872379308416	0.925027925258282	3.47901453488416	1.33033084061263	1.80770599749013	3.04486887353318	7.74936660060697
TCGA-BR-7901-01	2.39712761589623	2.29134233159548	1.46755954459166	1.93289701517895	0.411892367092423	3.68421840013962	2.37581627554496	2.41891665002078	3.60467333530478	7.8969573106097
TCGA-BR-7957-01	1.89434400633235	2.07990399692839	1.446103671395	1.20473513598081	0.428798396041323	3.35990071663352	2.22427286638686	2.77855636793183	4.28803832987492	9.04972900448985
TCGA-BR-7958-01	3.58589228013422	4.92530179474206	2.81032043013826	1.91680376317121	0.873978946230032	4.44835786058551	3.41608677493408	1.72071346723318	2.96334348886379	7.52865999935428
TCGA-BR-7959-01	1.68433930184826	2.52188816728985	0.952521765529505	1.37648026671271	0.275187212071043	3.75109261234336	1.30471375597417	2.17315025675372	3.68923046767366	8.46091095834011
TCGA-BR-8058-01	3.45627640281561	3.32764745012063	2.38581935346021	3.9191310450828	0.647610205256447	4.37082217942287	2.9478250194654	2.6543267792137	3.30225527664424	7.5641360594919
TCGA-BR-8059-01	1.39026984396989	1.09503168470767	1.11533472866751	1.02251614439455	0.413742271853383	2.32048354704862	0.824312271261091	1.99211528409253	3.19453013051725	8.5018406712036
TCGA-BR-8060-01	2.24755750768691	1.47479102430617	1.57480189475736	2.5531308376341	0.717958075628433	4.00924843200821	2.2233576730228	2.1386928420077	3.59590416037104	7.63586996906939
TCGA-BR-8077-01	2.44031016347584	5.24442314874476	1.60379953637541	1.56572963526328	0.528019197748668	3.22925920969691	2.26453027987641	1.78122964529765	2.87392753184511	5.9524970828007
TCGA-BR-8080-01	2.5559830154682	2.1709811591994	1.90849315632985	3.808560281327	0.692140671055276	3.83102155099078	2.15231246844269	2.09063262849085	3.97987629914967	8.55080964719818
TCGA-BR-8081-01	3.07640964336839	2.95623084425829	2.04632725872703	3.68125008384131	0.686571708909067	4.29963512866411	1.91110478604078	1.81038072071633	2.95493348006124	7.52367491901556
TCGA-BR-8284-01	3.37467585817977	4.42339850603708	2.84968059637493	2.55247697779277	0.806151948605853	4.23181378480625	2.37044868848943	2.03437679647503	3.48216445604993	7.63756329271077
TCGA-BR-8286-01	2.0538610153521	2.19576330728376	1.46362512533744	1.42614966058983	0.579582949016716	3.32172009677431	2.5317126194688	1.61085450963437	3.41297475676094	6.81607672975768
TCGA-BR-8289-01	1.53736646742861	1.81724636331329	0.880321968993021	1.71141830561636	0.270443792580757	3.30169876155579	1.29022995064551	1.29822800979315	2.77448448320197	7.48793832839705
TCGA-BR-8291-01	2.56385115871253	2.95050657872606	1.9457044450342	1.89368697657124	0.858827216787086	4.31858822459518	3.19559280538809	2.01691606467543	4.0535768437134	8.61450078932144
TCGA-BR-8295-01	1.06019950660677	1.03708955233873	0.968005368571752	2.09099626982152	0.502020712206243	1.84903629647145	0.766825772620577	1.55634863581924	2.6633185500807	5.17691071514224
TCGA-BR-8296-01	3.13298881212294	2.57221280566376	1.60950848622395	5.10805593483861	1.00605993885184	3.38672642748717	2.19066969958464	2.07161160351783	3.29686740316151	6.53946084159459
TCGA-BR-8297-01	2.14443572128268	1.83844036968396	1.2917016780964	3.10878405983452	0.475610752586299	2.76432523030467	1.33927485712967	1.54272954294519	3.24328448657312	8.09008198332061
TCGA-BR-8361-01	2.5185235726289	3.55511183992125	2.21812194866752	1.35294121426942	1.34029529597446	2.83817324812416	0.838205268325152	1.74952811334061	2.51941393579219	5.83866139459163
TCGA-BR-8364-01	2.68919776851112	2.84720961690196	2.05081538250016	3.03773751194484	0.714689089676923	4.2286096757376	2.63424460656291	2.00762950027307	3.75488849216223	9.50803254578098
TCGA-BR-8365-01	2.77440196998322	2.87057913808611	1.63565582229721	3.26058189745854	0.419334904063041	3.49374094363048	2.17274612774522	2.01303249729767	3.98318263552793	8.50584815933469
TCGA-BR-8366-01	3.52091602608665	4.53093769930363	2.84412846287014	3.8602218537762	1.69771640555185	4.69882809760685	2.06069107862392	1.8881393567657	3.05252843738569	7.33385575586463
