Tag	dynamicColors	mergedColors
HACD3	green	cyan
APOD	turquoise	turquoise
NUDT18	grey	grey
RBM19	black	cyan
GPR1	pink	turquoise
ZNF66	grey	grey
MT1F	grey	grey
TRIM8	yellow	cyan
ATG13	yellow	cyan
RALBP1	yellow	cyan
WRAP53	brown	brown
TYRO3	yellow	cyan
PRRC2A	black	cyan
IL6ST	purple	turquoise
SKAP2	blue	cyan
NRXN3	turquoise	turquoise
PSMA2	yellow	cyan
SBSPON	turquoise	turquoise
TREML2	grey	grey
SNX10	magenta	magenta
SFXN5	greenyellow	greenyellow
DYNC1LI2	blue	cyan
C5	grey	grey
L3MBTL2	black	cyan
RYK	green	cyan
GOT2	brown	brown
ACAT2	brown	brown
ANKRD65	turquoise	turquoise
SYTL4	pink	turquoise
EPOP	brown	brown
TRIP6	grey	grey
TTC38	yellow	cyan
MDC1	yellow	cyan
ZNF385B	turquoise	turquoise
ECRG4	turquoise	turquoise
DDX18	brown	brown
FAM168B	yellow	cyan
ARMH4	turquoise	turquoise
AJM1	yellow	cyan
IER3	grey	grey
FER1L6	grey	grey
NPAT	blue	cyan
GADD45A	grey	grey
FOSL1	grey	grey
MYPOP	cyan	cyan
TRIM65	black	cyan
PALB2	green	cyan
SPECC1	yellow	cyan
PLCG1	greenyellow	greenyellow
PANX2	grey	grey
HMGN4	blue	cyan
MMD	turquoise	turquoise
AMMECR1	brown	brown
PEA15	pink	turquoise
TAF1	blue	cyan
IL15	red	magenta
GOLM1	grey	grey
SHC1	yellow	cyan
C17orf58	brown	brown
RRBP1	greenyellow	greenyellow
RPTOR	black	cyan
CATSPER2	tan	tan
ZNF549	turquoise	turquoise
ASAP2	yellow	cyan
VPS13B	blue	cyan
DAB2IP	yellow	cyan
TTYH3	yellow	cyan
C11orf24	grey	grey
ZNF133	greenyellow	greenyellow
HES6	brown	brown
PLN	turquoise	turquoise
NDNF	turquoise	turquoise
FOXK2	black	cyan
ETHE1	brown	brown
NKD1	grey	grey
COL17A1	grey	grey
SNRPC	brown	brown
ZNF391	blue	cyan
SAV1	blue	cyan
IPO5	green	cyan
AGR3	grey	grey
WFDC1	turquoise	turquoise
MRPS7	brown	brown
CCL4	magenta	magenta
NDFIP2	green	cyan
DMTF1	tan	tan
EFL1	green	cyan
WNT7B	grey	grey
PLEKHA4	turquoise	turquoise
HEG1	purple	turquoise
DPM1	greenyellow	greenyellow
EDA	grey	grey
IPP	blue	cyan
SPACA6	turquoise	turquoise
ACP2	yellow	cyan
ARL2BP	pink	turquoise
SERPINB7	grey	grey
SNORC	brown	brown
BMF	yellow	cyan
CTNNB1	yellow	cyan
POLB	brown	brown
KDM3B	yellow	cyan
CDC123	brown	brown
CD5	red	magenta
ZPR1	brown	brown
HIVEP3	red	magenta
SH2D3C	purple	turquoise
LIN7A	turquoise	turquoise
GABRD	purple	turquoise
GZMB	red	magenta
ZFP1	blue	cyan
ABCA12	grey	grey
GRAP2	red	magenta
ABHD4	yellow	cyan
GPRIN3	blue	cyan
PNKP	cyan	cyan
VGLL4	black	cyan
UNK	black	cyan
SLC25A51	blue	cyan
MCM3	brown	brown
SLC35F5	blue	cyan
PPP2R5C	blue	cyan
FAH	grey	grey
HERC5	lightcyan	lightcyan
PLEKHA7	yellow	cyan
COMMD5	midnightblue	midnightblue
STIM2	blue	cyan
ZNF710	yellow	cyan
NECAB3	greenyellow	greenyellow
HK2	green	cyan
RMI1	green	cyan
CDK6	blue	cyan
GATD3A	grey	grey
STK38L	blue	cyan
GATA2	purple	turquoise
B3GAT3	black	cyan
DAPK1	blue	cyan
ADGRD1	turquoise	turquoise
RALGDS	yellow	cyan
SH2D2A	red	magenta
ZFYVE1	yellow	cyan
CHCHD7	brown	brown
LURAP1L	grey	grey
NAP1L5	turquoise	turquoise
RAB27A	red	magenta
ECPAS	blue	cyan
ANP32E	brown	brown
GHR	turquoise	turquoise
SLC2A5	magenta	magenta
EFNA4	turquoise	turquoise
PARP12	lightcyan	lightcyan
SEPHS2	grey	grey
RBM26	tan	tan
HHEX	grey	grey
RNF34	green	cyan
LCN2	turquoise	turquoise
PIP4K2A	red	magenta
TNFSF13B	magenta	magenta
CAPG	magenta	magenta
ZNF814	tan	tan
GPR155	turquoise	turquoise
ZNF83	blue	cyan
PTGIR	purple	turquoise
FADS1	pink	turquoise
PDXDC1	yellow	cyan
TNIP2	black	cyan
VSIG2	grey	grey
SLC28A2	grey	grey
ZNF568	turquoise	turquoise
SHROOM1	grey	grey
IRF9	tan	tan
NDUFAF4	brown	brown
HAND2	turquoise	turquoise
STAT3	yellow	cyan
SSH2	blue	cyan
KLHDC1	turquoise	turquoise
DUSP7	yellow	cyan
DDX39B	tan	tan
CALML4	grey	grey
MYORG	yellow	cyan
C2	grey	grey
SMIM10L2A	turquoise	turquoise
RRAGA	turquoise	turquoise
IL2RG	red	magenta
PDLIM4	turquoise	turquoise
ZNF124	green	cyan
KIF3A	blue	cyan
CDK11A	tan	tan
ANXA4	grey	grey
ALOX12	grey	grey
SHISA5	black	cyan
MSRB1	grey	grey
GNG11	turquoise	turquoise
DCTN6	grey	grey
MMP24OS	grey	grey
NT5DC1	blue	cyan
HIST2H2AB	grey	grey
TNS3	yellow	cyan
HIST2H2AC	brown	brown
AP1M2	grey	grey
PDLIM7	turquoise	turquoise
RTL8C	turquoise	turquoise
TNXB	turquoise	turquoise
PELI1	blue	cyan
TMEM176A	grey	grey
ZNF71	turquoise	turquoise
NCOA1	blue	cyan
EIF2A	green	cyan
DENND4B	black	cyan
OSER1	greenyellow	greenyellow
GIGYF1	yellow	cyan
SERPINA4	grey	grey
CTU1	cyan	cyan
PPL	grey	grey
SPAG1	grey	grey
KIRREL1	pink	turquoise
SLC23A1	grey	grey
S100A16	grey	grey
PLEKHA1	blue	cyan
TMEM8A	black	cyan
USP53	blue	cyan
SLC39A14	green	cyan
LRRC1	green	cyan
COL4A2	purple	turquoise
NFYA	green	cyan
HIST1H2BI	grey	grey
ZNF623	midnightblue	midnightblue
RAMP2	purple	turquoise
SMTN	turquoise	turquoise
PHLDA1	grey	grey
IFI6	lightcyan	lightcyan
LZTS3	grey	grey
C1orf112	brown	brown
PSME3	brown	brown
S100A2	grey	grey
TENT4A	green	cyan
ZNF277	blue	cyan
C19orf38	magenta	magenta
RTCB	brown	brown
RNMT	blue	cyan
MAP1A	turquoise	turquoise
ATP6V0A2	blue	cyan
MARCH9	grey	grey
ULBP3	green	cyan
TUSC1	turquoise	turquoise
COQ3	brown	brown
LY96	magenta	magenta
KLK11	grey	grey
NXPH3	turquoise	turquoise
ARL11	red	magenta
SAPCD2	brown	brown
SLC44A5	grey	grey
PLAU	pink	turquoise
GINS1	brown	brown
CNPY2	turquoise	turquoise
UGT2B15	grey	grey
WDR7	blue	cyan
SBF1	black	cyan
TMED1	black	cyan
CDC42SE1	yellow	cyan
GLIPR1	turquoise	turquoise
ADAMTS8	turquoise	turquoise
ENPP1	turquoise	turquoise
UBR3	blue	cyan
GJB5	grey	grey
CNTN4	turquoise	turquoise
PAM	turquoise	turquoise
CABP4	grey	grey
HOXA2	turquoise	turquoise
GK	grey	grey
ATXN7L3	black	cyan
EIF1AX	brown	brown
ZDHHC2	grey	grey
LSS	yellow	cyan
PBX3	turquoise	turquoise
IRX2	grey	grey
ZNF618	yellow	cyan
DUSP16	yellow	cyan
ATAD3A	brown	brown
OGT	tan	tan
ZNF362	turquoise	turquoise
RCE1	brown	brown
RBBP4	green	cyan
DMPK	turquoise	turquoise
MCM5	brown	brown
OPHN1	blue	cyan
HIVEP2	blue	cyan
KDM6A	blue	cyan
PRSS16	grey	grey
RAB42	magenta	magenta
CD86	magenta	magenta
ANKRD46	brown	brown
NRIP2	turquoise	turquoise
DBT	blue	cyan
TNFRSF21	green	cyan
RAP2A	blue	cyan
ITPKA	grey	grey
C5AR1	magenta	magenta
CRY2	turquoise	turquoise
ARHGEF35	grey	grey
ANKFY1	yellow	cyan
EAF2	red	magenta
HACL1	green	cyan
HSD3B7	grey	grey
TACSTD2	grey	grey
ORAI3	pink	turquoise
SMKR1	grey	grey
MMACHC	brown	brown
KLK13	grey	grey
GTPBP6	black	cyan
CHAC2	brown	brown
TPM3	brown	brown
TRIM62	black	cyan
PGM1	grey	grey
PARP6	grey	grey
SORBS1	turquoise	turquoise
AGA	grey	grey
GRTP1	midnightblue	midnightblue
TMEM128	green	cyan
RAB34	turquoise	turquoise
APPL2	blue	cyan
SRPRA	black	cyan
ACOT9	blue	cyan
KAZN	yellow	cyan
PAQR5	grey	grey
ABCA3	turquoise	turquoise
ZNF514	tan	tan
WASF1	turquoise	turquoise
MAML3	yellow	cyan
SLC12A9	yellow	cyan
GPAT3	grey	grey
BORCS7	blue	cyan
ERP29	brown	brown
PSENEN	brown	brown
IRAK3	red	magenta
SMIM6	grey	grey
PARD6A	grey	grey
ORC1	brown	brown
LY75	grey	grey
STARD10	grey	grey
CTBP1	black	cyan
NCLN	black	cyan
ADAMTS5	purple	turquoise
ANTXR1	pink	turquoise
RAE1	greenyellow	greenyellow
USP24	blue	cyan
PIGW	brown	brown
ALCAM	blue	cyan
WDR37	blue	cyan
PDPR	blue	cyan
MCM9	blue	cyan
UBTD1	pink	turquoise
BIK	turquoise	turquoise
SFRP5	grey	grey
PREP	brown	brown
SLC35F2	brown	brown
LIF	yellow	cyan
SPIN4	green	cyan
MYRIP	turquoise	turquoise
GSR	green	cyan
TPM2	turquoise	turquoise
IL17D	turquoise	turquoise
TTC3	blue	cyan
BDH2	grey	grey
IKBKB	blue	cyan
CYB561D2	yellow	cyan
DGLUCY	red	magenta
TMEM185A	yellow	cyan
GRB10	yellow	cyan
EFR3A	blue	cyan
MGST3	grey	grey
NACC1	black	cyan
FOXP2	turquoise	turquoise
CRAMP1	yellow	cyan
KLF8	turquoise	turquoise
AKR1C3	grey	grey
DIO3	grey	grey
MAGEA3	grey	grey
