Tag	p.value	HR	Low 95%CI	High 95%CI	type
CACNB3	0.0182925337681508	1.35341620840326	1.0525966687165	1.74020637496622	Risk
CLIC2	0.0451776400127963	1.20719472884469	1.00405364896792	1.45143550332037	Risk
KCNE4	0.0112621304536435	1.19916277686451	1.04202845615477	1.37999241472138	Risk
KCNJ11	0.0337171589023954	0.808460386638073	0.664395120747761	0.983764293794573	Protective
KCNJ8	0.00307490679999709	1.27247488153459	1.08482383237831	1.49258550172764	Risk
KCNQ1	0.00917083299674894	0.864722393967174	0.77516641685454	0.964624888759384	Protective
SLC12A7	0.0251297522092685	0.823919834780127	0.695450149503129	0.976121573385409	Protective
SLC24A3	0.0476913167621151	1.14587887240898	1.00138630991569	1.3112206320694	Risk
PKD2	0.0352099863685264	1.20298039781444	1.01289180016691	1.42874277122919	Risk
TCN2	0.0357311385292174	1.19237661227902	1.01179994977074	1.40518092122079	Risk
TRPC1	0.0429492993504383	1.21448679815442	1.00618591237042	1.46591019090751	Risk
BDH2	0.019524602271613	1.33241336975909	1.04721302209248	1.69528582099315	Risk
AASS	0.0400446317963008	1.2409867583583	1.00986151437034	1.5250092339452	Risk
PLA2G10	0.0474200068837073	1.1178976243568	1.00126934814776	1.24811081139592	Risk
PLCL1	0.001151491037465	1.44376959904145	1.1569879634606	1.80163555797206	Risk
MSRB3	0.0196783436649375	1.12973874757495	1.01967077383007	1.25168796687008	Risk
ADH1B	0.0217284857635097	1.1022812074413	1.01432081665779	1.1978693923307	Risk
AKR1B1	0.000247357635065199	1.38643098154233	1.16416270039902	1.65113593308014	Risk
ARSK	0.0364161443118176	1.44606022747524	1.02359478249932	2.04288866770101	Risk
GGT5	0.0132908610432482	1.20346655947343	1.03934698783598	1.39350166664396	Risk
BST1	0.0081073339355095	1.27094239170667	1.06424754303638	1.51778087119517	Risk
NMNAT1	0.00883483239642598	0.656541170463059	0.47915399841699	0.899598688390533	Protective
NNMT	0.00596778814647548	1.20081928344216	1.0539583539794	1.36814414539449	Risk
NOX4	0.00119173769087677	1.48089155948705	1.167874488049	1.87780436459709	Risk
QPRT	0.0409207608084271	1.09777516276521	1.00385724301119	1.20047976579749	Risk
ENTPD2	0.00438301806356816	0.856479420091737	0.769897349150303	0.952798444948886	Protective
ENTPD8	0.0132624949624425	0.873868407431677	0.785430248805217	0.972264557761585	Protective
NT5E	0.00105238963132891	1.2501718823374	1.09384824287012	1.4288359885153	Risk
TAP1	0.0457792462148354	0.862847486363995	0.746568307924085	0.997237328215612	Protective
TCIRG1	0.0444334233834402	0.786880378952347	0.622884561544435	0.994053744477046	Protective
AK1	0.0162814970481411	0.762981994627825	0.611886629493321	0.951387881458208	Protective
CDA	0.0215598669992684	1.11494021471966	1.01613475106855	1.22335318331738	Risk
DPYSL3	0.0228675112798759	1.11858737754496	1.01566734773086	1.23193654300135	Risk
UPP1	0.00480341280016219	1.40059906922799	1.10820441167901	1.77014071776723	Risk
NOS3	0.00801144101514903	1.29977444016928	1.07078088015675	1.5777397846981	Risk
CP	0.0197356797355104	1.11598585667541	1.01763449276418	1.223842589019	Risk
DHRS7	0.0218461583855739	1.33102163814231	1.04240903921887	1.69954263110633	Risk
ENOX1	0.0203781240220818	1.2241205510874	1.03182785151181	1.45224915318868	Risk
NDOR1	0.0204739223948848	0.750787771215043	0.589170951012381	0.956738068021629	Protective
NPR1	0.00861749368932367	1.24573528920473	1.05736878271112	1.46765862218005	Risk
PDE1A	0.00477473045744893	1.28238427434001	1.07892771677489	1.52420723048091	Risk
PDE1B	0.000679013700705945	1.42135014367061	1.1604355269879	1.74092931828475	Risk
