Samples	Cluster
TCGA-R5-A7ZI-01	C1
TCGA-R5-A7ZR-01	C1
TCGA-R5-A805-01	C2
TCGA-RD-A7BS-01	C2
TCGA-RD-A7BT-01	C1
TCGA-RD-A7BW-01	C2
TCGA-RD-A7C1-01	C1
TCGA-RD-A8MV-01	C1
TCGA-RD-A8MW-01	C2
TCGA-RD-A8N0-01	C2
TCGA-RD-A8N1-01	C1
TCGA-RD-A8N2-01	C2
TCGA-RD-A8N4-01	C2
TCGA-RD-A8N5-01	C2
TCGA-RD-A8N6-01	C2
TCGA-RD-A8N9-01	C2
TCGA-RD-A8NB-01	C2
TCGA-SW-A7EA-01	C1
TCGA-SW-A7EB-01	C2
TCGA-VQ-A8DT-01	C1
TCGA-VQ-A8DU-01	C1
TCGA-VQ-A8DV-01	C2
TCGA-VQ-A8DZ-01	C1
TCGA-VQ-A8E0-01	C1
TCGA-VQ-A8E2-01	C2
TCGA-VQ-A8E3-01	C1
TCGA-VQ-A8E7-01	C1
TCGA-VQ-A8P2-01	C1
TCGA-VQ-A8P3-01	C1
TCGA-VQ-A8P5-01	C1
TCGA-VQ-A8P8-01	C2
TCGA-VQ-A8PB-01	C1
TCGA-VQ-A8PC-01	C1
TCGA-VQ-A8PD-01	C2
TCGA-VQ-A8PE-01	C1
TCGA-VQ-A8PF-01	C1
TCGA-VQ-A8PH-01	C1
TCGA-VQ-A8PJ-01	C1
TCGA-VQ-A8PK-01	C1
TCGA-VQ-A8PM-01	C2
TCGA-VQ-A8PO-01	C1
TCGA-VQ-A8PP-01	C1
TCGA-VQ-A8PQ-01	C2
TCGA-VQ-A8PU-01	C1
TCGA-VQ-A8PX-01	C1
TCGA-VQ-A91A-01	C2
TCGA-VQ-A91D-01	C1
TCGA-VQ-A91E-01	C1
TCGA-VQ-A91K-01	C1
TCGA-VQ-A91N-01	C1
TCGA-VQ-A91Q-01	C1
TCGA-VQ-A91S-01	C1
TCGA-VQ-A91U-01	C1
TCGA-VQ-A91V-01	C1
TCGA-VQ-A91X-01	C1
TCGA-VQ-A91Y-01	C2
TCGA-VQ-A91Z-01	C1
TCGA-VQ-A922-01	C2
TCGA-VQ-A924-01	C1
TCGA-VQ-A925-01	C2
TCGA-VQ-A927-01	C2
TCGA-VQ-A928-01	C1
TCGA-VQ-A92D-01	C1
TCGA-VQ-A94O-01	C1
TCGA-VQ-A94P-01	C2
TCGA-VQ-A94R-01	C1
TCGA-VQ-A94T-01	C1
TCGA-VQ-A94U-01	C1
TCGA-VQ-AA64-01	C2
TCGA-VQ-AA68-01	C1
TCGA-VQ-AA69-01	C1
TCGA-VQ-AA6A-01	C1
TCGA-VQ-AA6D-01	C1
TCGA-VQ-AA6F-01	C1
TCGA-VQ-AA6G-01	C1
TCGA-VQ-AA6J-01	C1
TCGA-VQ-AA6K-01	C1
TCGA-ZA-A8F6-01	C2
TCGA-ZQ-A9CR-01	C2
